en-CA,fr-CA
2 CREAM (XL),2 Patates hachées brunes
2 Eggs & Brown Toast,2 Splenda
2 Eggs & White Toast,2 SPLENDA (G)
"2 Eggs, Bacon & Brown Toast",2 SPLENDA (M)
"2 Eggs, Bacon & White Toast",2 SPLENDA (S)
2 Fried Eggs,2 SPLENDA (TG)
2 Fried Eggs & Brown Toast Meal,2 sucre
2 Fried Eggs & White Toast Special,2 SUCRE (G)
"2 Fried Eggs, Bacon, & Brown Toast Meal",2 SUCRE (M)
"2 Fried Eggs, Bacon, & White Toast Meal",2 SUCRE (P)
2 Friendship Bracelets,2 SUCRE (TG)
2 Hamburger,2 tranches de fromage seulemen
2 Hamburger Extra Value Meal,2 tranches de fromage seulement
2 Hamburgers,20 McCroquettes
2 Hash Browns,20 morceaux de Poulet McCroque
2 Ketchup Packets,20 morceaux de Poulet McCroquettes (portion pour 2
2 McMuffins with Egg Offer,20 morceaux de Poulet McCroquettes (portion pour 2)
2 Milk,20 Poulet McCroquettes
2 MILK (L),250ml de lait au Chocolat
2 MILK (M),2Dollar Promo bannière
2 MILK (S),3 Boisson à l’avoine
2 MILK (XL),3 bouchées de patates hachées
2 Oat Beverage,3 bouchées de patates hachées brunes
2 Pies,3 crème
2 Regular McFlurry for $6.00,3 CRÈME (G)
2 RMHC Cookies,3 CRÈME (M)
2 S French Fries,3 CRÈME (P)
2 S Fry,3 CRÈME (TG)
2 Snack McFlurry for $5.00,3 lait
2 Splenda,3 LAIT (G)
2 SPLENDA (L),3 LAIT (M)
2 SPLENDA (M),3 LAIT (P)
2 SPLENDA (S),3 LAIT (TG)
2 SPLENDA (XL),3 Poulet McCroquettes
2 Sugar,3 Splenda
2 SUGAR (L),3 SPLENDA (G)
2 SUGAR (M),3 SPLENDA (M)
2 SUGAR (S),3 SPLENDA (P)
2 SUGAR (XL),3 SPLENDA (TG)
2% Milk,3 sucre
20 Chicken McNuggets,3 SUCRE (G)
20 Chicken McNuggets (Serves 2,3 SUCRE (M)
20 chicken McNuggets (Serves 2),3 SUCRE (P)
20 Chicken McNuggets (Serves 2),3 SUCRE (TG)
20 McNugget Sharebox,4 Boisson à l’avoine
20 McNugget Sharebox (Serves 2,4 bouchées de patates hachées
20 McNugget Sharebox (Serves 2),4 bouchées de patates hachées brunes
20 McNugget Sharebox w Pie,4 crème
20 McNugget Sharebox w/ 4 Cookies,4 CRÈME (G)
20 McNuggets,4 CRÈME (M)
20 McNuggets Extra Value Meal (Serves 2),4 CRÈME (P)
20-piece Chicken McNuggets Mea,4 CRÈME (TG)
20-piece Chicken McNuggets Meal (Serves 2),4 lait
2Dollar Promo Banner,4 LAIT (G)
3 Cheeseburger or Hamburger of,4 LAIT (M)
3 Cheeseburger or Hamburger offer,4 LAIT (P)
3 Chicken McNuggets,4 LAIT (TG)
3 Cream,4 McCroquettes
3 CREAM (L),4 McCroquettes Offre
3 CREAM (M),4 morceaux de Poulet McCroquettes
3 CREAM (S),4 Poulet McCroquettes
3 CREAM (XL),4 Splenda
3 Grain Sesame Ginger Salad,4 SPLENDA (G)
3 McNug & 2 Cookies,4 SPLENDA (M)
3 McNug & Sundae,4 SPLENDA (S)
3 McNuggets,4 SPLENDA (TG)
3 McNuggets & Dessert,4 sucre
3 McNuggets Pairing,4 SUCRE (G)
3 Milk,4 SUCRE (M)
3 MILK (L),4 SUCRE (P)
3 MILK (M),4 SUCRE (TG)
3 MILK (S),40 morceaux de Poulet McCroquettes (portion pour 4)
3 MILK (XL),40 Poulet McCroquettes
3 Mini Potato Hash Browns,6 Biscuits douceur
3 Oat Beverage,6 biscuits OMRM
3 Splenda,6 Danois
3 SPLENDA (L),6 Mccroq et côte
3 SPLENDA (M),6 McCroquettes
3 SPLENDA (S),6 muffins assortis
3 SPLENDA (XL),6 muffins au choix
3 Sugar,6 muffins cuits au four assort
3 SUGAR (L),6 muffins cuits au four assortis
3 SUGAR (M),6 muffins cuits au four assortis
3 SUGAR (S),6 muffins cuits au four au choix
3 SUGAR (XL),6 Poulet McCroquettes
4 Can Dine,8 bouchées de patates hachées
4 Chicken McNuggets,8 bouchées de patates hachées brunes
4 Cream,À-Côte
4 CREAM (L),À-côté
4 CREAM (M),À-Côté
4 CREAM (S),accessoires
4 CREAM (XL),AHA Lime Pastèque Eau pétillan
4 McNug & Cookies,AHA Lime Pastèque Eau pétillante
4 McNuggets,Aîné
4 McNuggets Offer,Aîné chocolat chaud en sachet
4 McNuggets VM,Aîné Coca-Cola
4 Milk,Aîné Coca-Cola Zero
4 MILK (L),Aîné Coke Diète
4 MILK (M),Aîné Fruitopia fraises
4 MILK (S),Aîné Fruitopia orange
4 MILK (XL),Aîné Racinette Barq's
4 Mini Potato Hash Browns,Aîné Sprite
4 Oat Beverage,Ajouter eau chaude
4 Splenda,Americano
4 SPLENDA (L),Asiago et Bacon ***
4 SPLENDA (M),Assaisonnement
4 SPLENDA (S),Assaisonnement à l'ail
4 SPLENDA (XL),Assaisonnement ramyeon
4 Sugar,Aucun accessoire
4 SUGAR (L),Aucun couvercle à boisson froi
4 SUGAR (M),Aucun couvercle à boisson froide
4 SUGAR (S),Authentique Croissant Francais
4 SUGAR (XL),Authentique Croissant Francais avec Fromage
40-piece Chicken McNuggets,Autre receipt
40-piece Chicken McNuggets (Serves 4),Autres boissons
6 Baked Muffins Assorted,Autres boissons chaudes
6 Caring Cookies,Autres boissons froides
6 Chicken McNuggets,Autres collations
6 McNugget,Autres collations et à-côtés
6 McNugget Extra Value Meal,Autres condiments
6 McNuggets,Autres hamburgers
6 McNuggets & Side Deal,Autres sandwichs au poulet
6 McNuggets Extra Value Meal,Avec ustensiles
6 Muffins Assorted,Avec/pas ustensiles
6 RMHC Cookies,Bacon
6 Signature Danish,Bacon 2 tranches complètes
8 Mini Potato Hash Browns,Bacon de dos
Acai Blueberry Pom Vita Wate,Bacon McCrêp oe
Acai Blueberry Pomegranate Vitamin Water,Bacon McCrêpes avec œuf
Accessories,Bacon McCrêpes oeuf
ADB Bagel Type,Bacon McMuf oeuf
Add Hot Water,Bacon McMuffin avec œuf
Advantage Card,Bacon McMuffin oeuf
Affogato,Bacon McMuffin œuf et sauce à
AHA Lime Watermelon,Bacon McMuffin œuf et sauce à l’ail style Frank’s
AHA Lime Watermelon Sparkling Water,Bacon Oeuf McMuffin et phb duo
All Day Breakfast,Bag Bac Œuf et Gouda ***
Almond Beverage,Bag Bac oeuf Goud
Almond Milk,Bagel
Americano,Bagel ***
Americano Coffee,Bagel au bacon et guacamole
any McChicken Sandwich,Bagel b-oeuf  & 2PHB ***
Apple & Blueberry Cream Cheese,Bagel b-oeuf ***
Apple & Blueberry Cream Cheese Pies,Bagel b-oeuf & 2PHB ***
Apple Danish,Bagel b-oeuf & PHB ***
Apple Juice,Bagel Bacon & guacamole
Apple Pie Pairing,Bagel bla b-oeuf
Apple Pie Special,Bagel bla from crè
Apple Slices,Bagel blanc b-oeuf
Apple Topping,Bagel blanc fromcrèm
Apples,Bagel BLT ***
Applewood Sauce,Bagel BLT & PHB ***
Asiago & Bacon Chkn ***,Bagel BLT plein-goût
Asiago & Bacon Chkn EVM ***,Bagel BLT R ***
Asiago & Bacon Chkn LV ***,Bagel BLT Tout
Asiago & Bacon Chkn RV ***,Bagel fromage
Asian Cashew Salad,Bagel grains
Asian Sesame Fusion Salad,Bagel lt oeuf ***
Ask Me,Bagel LT oeuf ***
Authentique French Croissant w,Bagel lt oeuf & PHB ***
Authentique French Croissant with Cheese,Bagel nature
Avoidable Driver Wait Time Fee,Bagel Nature
B-2fr Htck Brn Tst,Bagel nature avec bacon et oeuf
B-2fr Htck Brn Tst VM,Bagel nature avec oeuf et bacon
B-2fr Htck Wht Tst,Bagel nature avec oeuf et saucisse
B-2fr Htck Wht Tst VM,Bagel nature avec produit régulier fromage à la crème
B-Chsb Deluxe,Bagel nature avec produit régulier fromage à la crème
B-Egg Bagel,Bagel nature avec rég from crè
B-Egg Bagl VM,Bagel nature avec régulier fromage à la crème
B-Egg Guac Bagel***,Bagel nature avec saucisse et oeuf
Bac Dbl Cheeseburger,Bagel nature bacon et oeuf
Bac Deluxe Grilled Chicken,Bagel nature BLT
Bac Egg Bagl VM,Bagel nature BLT avec oeuf
Bacon 'n Egg Croissant,Bagel nature oeuf et bacon
Bacon 'n Egg Croissant on Chee,Bagel nature oeuf et saucisse
Bacon 'n Egg Croissant on Cheese Croissant,Bagel nature prod rég from crè
Bacon 'n Egg McMuffin,Bagel nature saucisse et oeuf
Bacon 'N Egg McMuffin,Bagel origin b-oeuf
Bacon 'N Egg McMuffin Extra Value Meal,Bagel original
Bacon 'n' Egg McMuffin,Bagel Original BLT
Bacon 'n' Egg McMuffin Extra Value Meal,Bagel p-goût
Bacon & Guacamole Bagel,Bagel plein-goût
Bacon Chsb Deluxe,Bagel plein-goût avec produit régulier fromage à la crème
Bacon Dbl Chsb,Bagel plein-goût bacon et oeuf
Bacon Deluxe Grilled Chicken Sandwich,Bagel plein-goût BLT avec oeuf
Bacon Deluxe Grilled Chicken Sandwich Extra Value Meal,Bagel plein-goût rég from crèm
Bacon Deluxe McCrispy,Bagel plein-goût sauc et oeuf
Bacon Deluxe McCrispy Extra Value Meal,Bagel plein-goût saucisse et oeuf
Bacon Double Cheeseburger,Bagel R ***
Bacon Double Cheeseburger Extra Value Meal,Bagel Sandwichs
Bacon Egg Bagel ***,Bagel sésa avec bacon et oeuf
Bacon Egg McMuffin,Bagel sésa avec oeuf et bacon
Bacon Egg McMuffin & Hash Brown Deal,Bagel sésa avec oeuf et saucisse
Bacon Egg McMuffin & HB Deal,Bagel sésa avec saucisse et oeuf
Bacon McWrap Grilled,Bagel sésa bacon et oeuf
Bacon Pieces,Bagel sésa BLT avec oeuf
Bacon Strip,Bagel sésa oeuf et bacon
Bacon Strips,Bagel sésa oeuf et saucisse
"Bacon, Egg & Cheese McGriddles",Bagel sésa saucisse et oeuf
"Bacon, Egg & Cheese McGriddles Extra Value Meal",Bagel sésame avec fromage à la crème original
Bag,Bagel sésame avec régulier fro
Bag B-Egg Gouda,Bagel sésame avec régulier fromage à la crème
Bag B-Egg Gouda VM,Bagel sésame BLT
Bag Fee (2 Bags),Bagel sésame from crème orig
Bag Selection,Bagels
Bagel,Bagels et tartinades
Bagel ***,"Bagels grillés, etc."
Bagel & Soup,Bagels-matin
Bagel Bacon Egg EVM,Bâtonnets
Bagel Bacon Egg Guac EVM,Bâtons LNH
Bagel Crm Chs with Soup,Beurre
Bagel Plain,Beurre arachide avec couteau
Bagel Plain VM,Beurre avec couteau
Bagel Sandwich,Beurre d'arachide
Bagel Sandwiches,Bien grillé
Bagel Sausage Egg EVM,Big Mac
Bagel Type,Big Mac (sans viande)
Bagel with Butter,Big Mac enfant
Bagel with Cream Cheese,Big Mac et côte
Bagels,"Big Mac, sans viande"
Bagels & Spreads,Billet hockey
Bagl ***,Biscuit arc-en-ciel
Bagl B-Egg EVM ***,Biscuit aux morceaux de chocol
Bagl B-Egg VM ***,Biscuit aux morceaux de chocolat
Bagl Bac Egg 'N Gouda,Biscuit s'mores
Bagl Bac Egg 'N Gouda VM,Biscuits
Bagl Bac Egg VM ***,Biscuits douceur
Bagl Bacon Egg  ***,Bist Thaïe m frites ***
Bagl Bacon Egg ***,Blanc 250ml de lait
Bagl BLT ***,Blanc d'oeuf
Bagl BLT EVM ***,Bleuets
Bagl BLT VM ***,BLT poulet ***
Bagl Bny B-Egg  VM ***,Boisson
Bagl Bny B-Egg VM ***,Boisson à l’avoine
Bagl Bny Bacon Egg  ***,Boisson café chaude specialite
Bagl Bny Bacon Egg ***,Boisson d'amande
Bagl Crm Chs VM,Boisson fontaine
Bagl Egg BLT ***,Boisson Latte/Cappuccino
Bagl Egg BLT EVM ***,Boisson McCafé chaude
Bagl Egg BLT VM ***,Boisson McCafé Chaude
Bagl Egg LT ***,Boisson Splash fraîcheur
Bagl Egg LT EVM ***,Boissons chaudes
Bagl Egg LT VM ***,Boissons de fontaine
Bagl Egg LT***,Boissons en bouteille
Bagl Plain ***,Boissons en bouteille
Bagl R ***,Boissons fontaine - enfant
Bagl Sau Egg ***,Boissons froides
Bagl Sau Egg VM ***,Boissons Splash fraîcheur
Bagl w/ CC ***,Boîte à café
Bagl w/ CC VM ***,Boîte à café (pour 12 pers.)
Bagl w/ R/CC Smk Slmn,Boîte à décaf
Bagl w/ Spreads,Boîte à décaf (pour 12 pers.)
Bagl w/ Spreads ***,Boîte à partager (2 personnes)
Bagl w/Cream Chs,Boîte à partager (pour 2 personnes)
Bags,Boîte à partager 20 McCroq
Baked Apple Pie,Boîte à partager des Fêtes
Baked Blueberry Cream Cheese Pie,Boîte à partager des Fêtes
Baked Muffins,Boîte à partager des Fêtes avec chaussons
Baked Pies,Bouchées de patates du Grincheux
Bakery,Bout consignée
Bakery & Sweets & Treats,Bouteille
Bakery Pairings,Bouteille au miel
Barbeque Sauce,Bouteille consignée
Barq's Root Beer,Bouteille d'eau
BBQ Sauce,Bouteille d'eau DASANI
Begel,Bouteille de lait 1%
Benny B-Egg Bagl VM,Bouteille de lait 1% au choco
Benny B-Egg Bgl VM ***,Bouteille de lait 1% au chocolat
Benny Bacon Egg Bagel ***,Bouteille de Sprite
Bergamia Grey Tea,Brioche à la cannelle
Berry McPops,Brunch
Big Arch,Burrito-matin
Big Breakfast,Burritos-matin
Big Mac,Café frappé
Big Mac (No Meat),Café frappé + crème fouettée + coulis au choc.
Big Mac (No Meat) Extra Value Meal,Café frappé au caramel salé
Big Mac & Side Deal,"Café frappé au caramel salé, format moyen"
Big Mac Extra Value Meal,"Café frappé au caramel salé, grand format"
Big Mac Offer,"Café frappé au caramel salé, petit format"
Big Mac Sauce,Café glacé
"Big Mac, No Meat",Café glacé à la vanille
Biscoff McPops,Café glacé au caramel
Bistro Sandwiches,Café glacé au caramel salé
Black,Café glacé avec boisson à l'avoine
Black & White Sesame Bun,Café glacé avec sirop sans sucre
Black & White Sesame Seed Bun,Café glacé/nuage
Black Bean Salad,Café infusé
Blackberry Passionfruit Flavoured Syrup,Café infusé à froid
Blackberry Passionfruit Refresher,Café infusé à froid sucré avec boisson à l'avoine
Block Party GC,Café infusé aînés
Block Party Gift Certs,Café infusé décaféiné
BLT Bagel,Café infusé décaféiné aînés
BLT Bagl VM,Café infusé et thé
BLT Chicken ***,Café nuage glacé
Blue Raspberry Syrup,Café nuage glacé à la vanille française
Blue Stainless Bottle,"Café nuage glacé à la vanille française, format moyen"
Blueberries,"Café nuage glacé à la vanille française, grand format"
Blueberry,"Café nuage glacé à la vanille française, petit format"
Blueberry Cream Cheese Pie,Café nuage glacé au caramel salé
Blueberry Muffin,"Café nuage glacé au caramel salé, format moyen"
Blueberry Pomegranate Real Fruit Smoothie,"Café nuage glacé au caramel salé, grand format"
Blueberry Pomegranate Smoothie,"Café nuage glacé au caramel salé, petit format"
Book,Café nuage glacé avec sirop sans sucre
Book or Toy,"Café nuage glacé avec sirop sans sucre, format moyen"
Bottle Deposit,"Café nuage glacé avec sirop sans sucre, grand format"
Bottled Beverages,"Café nuage glacé avec sirop sans sucre, petit format"
Bottled Drink,"Café nuage glacé, format moyen"
Bottled Water,"Café nuage glacé, grand format"
Breakfast Bundle for 4,"Café nuage glacé, petit format"
Breakfast Bundle for 4 (Serves 4),Café surcharge
Breakfast Burrito,Café tg surcharge
Breakfast Burritos,Café/thé
Breakfast Menu,Café/Thé
Breakfast Poutine,Canette consignée
Breakfast Sandwich,Canneberges & orange (contient maintenant du soja)
Breakfast Sandwiches,Cappuccino
Breakfast Wraps & Burritos,Cappuccino (lait 2%)
Brewed Coffee & Tea,Cappuccino (lait aux amandes)
Brewed Iced Tea,Cappuccino (lait d'amande)
Brie Cheese,"Cappuccino, format moyen (lait aux amandes)"
Brown Toast,"Cappuccino, grand format (lait aux amandes)"
Brown Toast Special,"Cappuccino, petit format (lait aux amandes)"
Brunch,Caramel
Bubble Heart Mug,Caramel poudre
Buffalo Chicken Snack Wrap,Carottes et concombres
Buffalo Crispy Snack Wrap,Carottes râpées
Buffalo Grilled Snack Wrap,Carte avantage
Buffalo Sauce,Carte cadeau 10$
Buffalo SnackWrap® w/ Grilled Chicken McValue Meal,Carte cadeau 20$
Bun,Carte cadeau 25$
Bundles and Sharing,Carte cadeau 5$
Burgers,Carte cadeau 50$
Burnt Sugar Topping,Cartes K-Pop
Burrito Mix,CC Saint-Valentin
Butter,CC St-Valentin
Butter Packet,Certif Block Party
Butter with knife,Certif Halloween
"Buy One, Get One Free*",Certificat Block Party
C Water,Certificat Halloween
Cadbury Crème Egg McFlurry,Chai frappé à la vanille
Caesar Dressing,Chai frappé à la vanille
Caesar Entrée Salad,Chai frappé van. + cr. fouettée + coulis au choc.
Caesar McWrap Grilled Chicken,Charge fête
Caesar McWrap with Grill Chick,Chaussettes
Caesar Signature McWrap with Grilled Chicken,Chausson aux bleuets
Caesar Signature McWrap with Grilled Chicken Extra Value Meal,Chausson aux bleuets et au fromage à la crème cuit au four
Caesar Veggie Mix,Chausson aux pommes
Café Sandwiches,Chausson aux pommes cuit au four
Cajun Aioli Sauce,Chausson pommes
Cajun McWrap Grilled Chicken,Chaussons cuits au four
Cajun McWrap with Grill Chick,Chaussons pommes/bleuets et fr
Cajun Ranch McWrap,Chaussons pommes/bleuets et fromage à la crème
Cajun Ranch McWrap Value Meal,Cheddar naturel
Cajun Signature McWrap with Grilled Chicken,Child Cup
Cajun Signature McWrap with Grilled Chicken Extra Value Meal,Chips tortillas
Can Deposit,Chocolat
Canada Stainless Cup,Chocolat chaud
Canadian Back Bacon,Chocolat chaud
Cappuccino,Chocolat chaud  (lait 2%)
Cappuccino (2% Milk),Chocolat chaud (lait 2%)
Cappuccino (Almond Milk),Chocolat chaud (lait aux amandes)
Carafe Item,Chocolat chaud en sachet
Caramel,Chocolat chaud gourmet
Caramel Iced Coffee,Chocolat chaud L
Caramel Latte (2% Milk),"Chocolat chaud, format moyen (lait aux amandes)"
Caramel Latte (Almond milk),"Chocolat chaud, grand format (lait aux amandes)"
Caramel Latte (Almond Milk),"Chocolat chaud, petit format (lait aux amandes)"
Caramel Powder,Choisir À-Côté Joyeux Festin
Caramel Sundae,Choisir bagel
Caramel Syrup,Choisir biscuits
Caramelized Coconut,Choisir boisson chaude
Caramelized Onions,Choisir boisson Joyeux Festin
Caring Cookies,Choisir boisson McCafe
Carolina BBQ Sauce,Choisir boisson/s
Carrier Mug,Choisir boisson/s M
Carrot and Cucumber,Choisir café
Carrot Muffin,Choisir café/déca
Ceramic Mug,Choisir café/thé
Chai Cardamom Tea Latte (2% Milk),Choisir Carafe
Chai Cardamom Tea Latte (Almond Milk),Choisir chaussons
Chai Glow Tea,Choisir Côte
Cheese,Choisir croissants
Cheese Bagel,Choisir des frites
Cheese Bagl w/ Spreads,Choisir DTJ Bagel
Cheese Bagl w/ Spreads ***,Choisir Joyeux Festin
Cheese Croissant,Choisir MacPoulet au choix à X
Cheese Curds,Choisir MacPoulet au choix à X$
Cheese Sauce,Choisir McFlurry
Cheeseburger,Choisir mini-vienn
Cheeseburger Deluxe,Choisir muffins
Cheeseburger Deluxe Extra Value Meal,Choisir p café
"Cheeseburger, No Meat",Choisir petit café
Chewy Chocolate Chunk Cookie,Choisir sandwich
CHF ATTRACT PROMO 5,Choisir Sandwich
Chicken & Bacon McWrap,Choisir sandwich bagel
Chicken & Bacon McWrap Extra Value Meal,Choisir sandwich Bagel
Chicken & Bacon McWrap with Crispy Chicken,Choisir sandwich McMuffin
Chicken & Bacon McWrap with Crispy Chicken Extra Value Meal,Choisir sauce tartare
Chicken & Bacon McWrap with Grilled Chicken,Choisissez vos 2 McPops
Chicken & Bacon McWrap with Grilled Chicken Extra Value Meal,Choisissez vos 6 McPops
Chicken & Bacon Signature McWrap with Grilled Chicken Extra Value Meal,Classique
Chicken & Fish,Classique
Chicken Big Mac,Classique McFlurry Oreo
Chicken Big Mac Extra Value Meal,Classique McFlurry Skor
Chicken Big Mac Patty,Classique McFlurry Smarties
Chicken Breakfast Wrap,Coca-Cola
Chicken Breakfast Wrap Extra Value Meal,Coca-Cola Zero
Chicken McGriddle,Coca-Cola zéro
Chicken McGriddle Extra Value Meal,Coca-Cola zéro sucre
Chicken McGriddle or McMuffin Sandwich,Coke
Chicken McGriddle/McMfn,Coke Diète
Chicken McGriddles,Coke Syrup
Chicken McMuffin,Coke tourbillon de fraise
Chicken McMuffin Extra Value Meal,"Coke tourbillon de fraise, format moyen"
Chicken Nacho Poutine with Crispy Chicken,"Coke tourbillon de fraise, grand format"
Chicken Nacho Poutine with Grilled Chicken,"Coke tourbillon de fraise, petit format"
Chicken Patty,Coke Zero Syrup
Chicken Snack Wrap with Crispy Chicken,Collation
Chicken Snack Wrap with Grilled Chicken,Collation McFlurry Oreo
Chickpea & Edamame Salad,Collation McFlurry Skor
Child Chocolate Shake,Collation McFlurry Smarties
Child Clear Cup,Collation sur le pouce
Child Cup,Collations et à-côtés
Child Cup FS,Commande remise
Child Size,Concombre
Child Size Barq's Root Beer,Condiments
Child Size Chocolate Shake,Condiments à côté
Child Size Coca-Cola,Confiture avec couteau
Child Size Coke,Confiture Double fruit
Child Size Coke Zero,Consigne jus
Child Size Diet Coke,Consigne lait
Child Size Fruitopia Orange,Cornet à la vanille
Child Size Fruitopia Strawberry,Cornet vanille
Child Size Fuze Iced Tea,Cornichons
Child Size FUZE Iced Tea,Côte
Child Size NESTEA Iced Tea,Coulis de chocolat
Child Size Soft Drinks,Coupé en deux
Child Size Sprite,Coupe gl caramel
Child Size Strawberry Shake,Coupe gl chocolat
Child Size Vanilla Shake,Coupe glacé
Child Soft Drinks,Coupe glacée à l'espresso
Child Strawberry Shake,Coupe glacée au caramel
Child Vanilla Shake,Coupe glacée au caramel fondant
Chili Lime Glaze,Coupe glacée au chocolat
Chocolate Brownie Muffin,Coupe glacée au chocolat fondant
Chocolate Chip Muffin,Coupe glacée aux caramel
Chocolate Drizzle,Coupe glacée caramel
Chocolate Hazelnut Iced Latte (2% Milk),Coupe glacée chocolat
Chocolate Hazelnut Latte (2% Milk),Coupes glacées et cornet
Chocolate Milk,Couteaux
Chocolate Milk Bottle,crème
Chocolate Pieces,Crème
Chocolate Triple Thick Milkshake,Crème fouettée
Cilantro Lime Sauce,Crème fouettée et coulis de ch
Cinnamon Swirls,Crème fouettée et coulis de chocolat
Classic Ranch,Crêpes
Cloud & Iced Coffee,Crêpes
Cloud Iced Coffee,Crêpes et bacon
Cloud Iced Coffee with Sugar-Free Syrup,Crêpes et saucisse
Coca Cola,Crêpes ML
Coca-Cola,"Crêpes, collations et à-côtés"
Coca-Cola Glass,Croissant
Coca-Cola Pin,Croissant au fromage
Coffee  L Upcharge,Croissant dinde et cheddar BLT
Coffee Bag Gift Basket,Croissant français authentique
Coffee Frappé,Croissant français authentique avec bacon et œuf
Coffee Frappé w/ Whipped Cream & Choc Drizzle,Croissant LT avec œuf
Coffee L Upcharge,Croissant/Mini-viennoiseries
Coffee or Tea,Croissants sandwichs
Coffee XL Upcharge,Croustade
Coffee/Decaf,Cuillères
Coffee/Tea Only,Danoise aux pommes
Coke,Danoises Signature
Coke Syrup,Dans un verre
Coke Syrup CS,Dbl Dbl
Coke Zero,Dbl h-from (GCM)
Coke Zero Can,Dbl h-from comme Mac
Coke Zero Sugar Can,Dbl h-fromage LT
Coke Zero Syrup,Dbl hamb fromage LT
Cold Brew,DBL Quart de livre avec bacon
Cold Drinks,DBL Quart de livre avec bacon et oignons croust.
Cold Foam,Déjeuner toute la journée
Cold Reusable Cup,Déjeuner traditionnel et 1 pat hach brun
Condiments,Déjeuner traditionnel et PHB
Cookies,Délice d’orange
Cookies,"Délice d’orange, format moyen"
Courier Tip,"Délice d’orange, grand format"
Couscous,"Délice d’orange, petit format"
Couscous Salad,Demandez-moi
Crafted Soda,Demi crème
Crafted Sodas,Demi déca infusé
Cranberry & Orange Muffin,Demi Filet de poisson
Cranberry Orange Muffin,Demi glace
Cranberry Orange Muffin (Now contains soy),Demi lait
Cranberry Packet,Demi splenda
Cranberry Sauce,Demi Splenda
Cream,Demi sucre
Cream Cheese,Dessert
Cream Cheese Icing,Deux McFlurry collation
Cream Chs On Side,"Deux McFlurry, classique 6 $"
Cream Packet,"Deux McFlurry, format classique, pour 6$"
Creamy Avocado Ranch McWrap,"Deux McFlurry, format collation, pour 5$"
Creamy Avocado Ranch McWrap,Deux pour le prix d'un*
Creamy Chipotle McWrap,Deux Trios ordinaire
Creamy Chipotle McWrap Extra Value Meal,Diet Coke Syrup
Creamy Chipotle McWrap with Crispy Chicken,Dinde
Creamy Chipotle McWrap with Crispy Chicken Extra Value Meal,Don 1 $
Creamy Chipotle McWrap with Grilled Chicken,Don à la Maison Ronald McDonal
Creamy Chipotle McWrap with Grilled Chicken Extra Value Meal,Don à la Maison Ronald McDonald
Creamy Chipotle Sauce,Dose supplémentaire de sirop mangue-ananas
Creamy Dijon Mustard,Dose supplémentaire sirop mûre-fruit de la passion
Creamy Spicy Sauce,Double Big Mac
Creamy Strawberry Coke,Double double
Crispy Chicken Patty,Double espresso
Crispy Onions,Double filet de poisson
Crispy Ranch Snack Wrap,Double h-fromage
Crispy Snack Wrap,Double hamburger
Croissant,Double Hamburger
Croissants Sandwiches,Double hamburger avec fromage
