en-CA,fr-CA
2 CREAM (XL),2 Patates hachées brunes
2 Eggs & Brown Toast,2 Splenda
2 Eggs & White Toast,2 SPLENDA (G)
"2 Eggs, Bacon & Brown Toast",2 SPLENDA (M)
"2 Eggs, Bacon & White Toast",2 SPLENDA (S)
2 Fried Eggs,2 SPLENDA (TG)
2 Fried Eggs & Brown Toast Meal,2 sucre
2 Fried Eggs & White Toast Special,2 SUCRE (G)
"2 Fried Eggs, Bacon, & Brown Toast Meal",2 SUCRE (M)
"2 Fried Eggs, Bacon, & White Toast Meal",2 SUCRE (P)
2 Friendship Bracelets,2 SUCRE (TG)
2 Hamburger,2 tranches de fromage seulemen
2 Hamburger Extra Value Meal,2 tranches de fromage seulement
2 Hamburgers,20 McCroquettes
2 Hash Browns,20 morceaux de Poulet McCroque
2 Ketchup Packets,20 morceaux de Poulet McCroquettes (portion pour 2
2 McMuffins with Egg Offer,20 morceaux de Poulet McCroquettes (portion pour 2)
2 Milk,20 Poulet McCroquettes
2 MILK (L),250ml de lait au Chocolat
2 MILK (M),2Dollar Promo bannière
2 MILK (S),3 Boisson à l’avoine
2 MILK (XL),3 bouchées de patates hachées
2 Oat Beverage,3 bouchées de patates hachées brunes
2 Pies,3 crème
2 Regular McFlurry for $6.00,3 CRÈME (G)
2 RMHC Cookies,3 CRÈME (M)
2 S French Fries,3 CRÈME (P)
2 S Fry,3 CRÈME (TG)
2 Snack McFlurry for $5.00,3 lait
2 Splenda,3 LAIT (G)
2 SPLENDA (L),3 LAIT (M)
2 SPLENDA (M),3 LAIT (P)
2 SPLENDA (S),3 LAIT (TG)
2 SPLENDA (XL),3 Poulet McCroquettes
2 Sugar,3 Splenda
2 SUGAR (L),3 SPLENDA (G)
2 SUGAR (M),3 SPLENDA (M)
2 SUGAR (S),3 SPLENDA (P)
2 SUGAR (XL),3 SPLENDA (TG)
2% Milk,3 sucre
20 Chicken McNuggets,3 SUCRE (G)
20 Chicken McNuggets (Serves 2,3 SUCRE (M)
20 chicken McNuggets (Serves 2),3 SUCRE (P)
20 Chicken McNuggets (Serves 2),3 SUCRE (TG)
20 McNugget Sharebox,4 Boisson à l’avoine
20 McNugget Sharebox (Serves 2,4 bouchées de patates hachées
20 McNugget Sharebox (Serves 2),4 bouchées de patates hachées brunes
20 McNugget Sharebox w Pie,4 crème
20 McNugget Sharebox w/ 4 Cookies,4 CRÈME (G)
20 McNuggets,4 CRÈME (M)
20 McNuggets Extra Value Meal (Serves 2),4 CRÈME (P)
20-piece Chicken McNuggets Mea,4 CRÈME (TG)
20-piece Chicken McNuggets Meal (Serves 2),4 lait
2Dollar Promo Banner,4 LAIT (G)
3 Cheeseburger or Hamburger of,4 LAIT (M)
3 Cheeseburger or Hamburger offer,4 LAIT (P)
3 Chicken McNuggets,4 LAIT (TG)
3 Cream,4 McCroquettes
3 CREAM (L),4 McCroquettes Offre
3 CREAM (M),4 morceaux de Poulet McCroquettes
3 CREAM (S),4 Poulet McCroquettes
3 CREAM (XL),4 Splenda
3 Grain Sesame Ginger Salad,4 SPLENDA (G)
3 McNug & 2 Cookies,4 SPLENDA (M)
3 McNug & Sundae,4 SPLENDA (S)
3 McNuggets,4 SPLENDA (TG)
3 McNuggets & Dessert,4 sucre
3 McNuggets Pairing,4 SUCRE (G)
3 Milk,4 SUCRE (M)
3 MILK (L),4 SUCRE (P)
3 MILK (M),4 SUCRE (TG)
3 MILK (S),40 morceaux de Poulet McCroquettes (portion pour 4)
3 MILK (XL),40 Poulet McCroquettes
3 Mini Potato Hash Browns,6 Biscuits douceur
3 Oat Beverage,6 biscuits OMRM
3 Splenda,6 Danois
3 SPLENDA (L),6 Mccroq et côte
3 SPLENDA (M),6 McCroquettes
3 SPLENDA (S),6 muffins assortis
3 SPLENDA (XL),6 muffins au choix
3 Sugar,6 muffins cuits au four assort
3 SUGAR (L),6 muffins cuits au four assortis
3 SUGAR (M),6 muffins cuits au four assortis
3 SUGAR (S),6 muffins cuits au four au choix
3 SUGAR (XL),6 Poulet McCroquettes
4 Can Dine,8 bouchées de patates hachées
4 Chicken McNuggets,8 bouchées de patates hachées brunes
4 Cream,À-Côte
4 CREAM (L),À-côté
4 CREAM (M),À-Côté
4 CREAM (S),accessoires
4 CREAM (XL),AHA Lime Pastèque Eau pétillan
4 McNug & Cookies,AHA Lime Pastèque Eau pétillante
4 McNuggets,Aîné
4 McNuggets Offer,Aîné chocolat chaud en sachet
4 McNuggets VM,Aîné Coca-Cola
4 Milk,Aîné Coca-Cola Zero
4 MILK (L),Aîné Coke Diète
4 MILK (M),Aîné Fruitopia fraises
4 MILK (S),Aîné Fruitopia orange
4 MILK (XL),Aîné Racinette Barq's
4 Mini Potato Hash Browns,Aîné Sprite
4 Oat Beverage,Ajouter eau chaude
4 Splenda,Americano
4 SPLENDA (L),Asiago et Bacon ***
4 SPLENDA (M),Assaisonnement
4 SPLENDA (S),Assaisonnement à l'ail
4 SPLENDA (XL),Aucun accessoire
4 Sugar,Aucun couvercle à boisson froi
4 SUGAR (L),Aucun couvercle à boisson froide
4 SUGAR (M),Authentique Croissant Francais
4 SUGAR (S),Authentique Croissant Francais avec Fromage
4 SUGAR (XL),Autre receipt
40-piece Chicken McNuggets,Autres boissons
40-piece Chicken McNuggets (Serves 4),Autres boissons chaudes
6 Baked Muffins Assorted,Autres boissons froides
6 Caring Cookies,Autres collations
6 Chicken McNuggets,Autres collations et à-côtés
6 McNugget,Autres condiments
6 McNugget Extra Value Meal,Autres hamburgers
6 McNuggets,Autres sandwichs au poulet
6 McNuggets & Side Deal,Avec ustensiles
6 McNuggets Extra Value Meal,Avec/pas ustensiles
6 Muffins Assorted,Bacon
6 RMHC Cookies,Bacon 2 tranches complètes
6 Signature Danish,Bacon de dos
8 Mini Potato Hash Browns,Bacon McCrêp oe
Acai Blueberry Pom Vita Wate,Bacon McCrêpes avec œuf
Acai Blueberry Pomegranate Vitamin Water,Bacon McCrêpes oeuf
Accessories,Bacon McMuf oeuf
ADB Bagel Type,Bacon McMuffin avec œuf
Add Hot Water,Bacon McMuffin oeuf
Advantage Card,Bacon McMuffin œuf et sauce à
Affogato,Bacon McMuffin œuf et sauce à l’ail style Frank’s
AHA Lime Watermelon,Bacon Oeuf McMuffin et phb duo
AHA Lime Watermelon Sparkling Water,Bag Bac Œuf et Gouda ***
All Day Breakfast,Bag Bac oeuf Goud
Almond Beverage,Bagel
Almond Milk,Bagel ***
Americano,Bagel au bacon et guacamole
Americano Coffee,Bagel b-oeuf  & 2PHB ***
any McChicken Sandwich,Bagel b-oeuf ***
Apple & Blueberry Cream Cheese,Bagel b-oeuf & 2PHB ***
Apple & Blueberry Cream Cheese Pies,Bagel b-oeuf & PHB ***
Apple Danish,Bagel Bacon & guacamole
Apple Juice,Bagel bla b-oeuf
Apple Pie Pairing,Bagel bla from crè
Apple Pie Special,Bagel blanc b-oeuf
Apple Slices,Bagel blanc fromcrèm
Apple Topping,Bagel BLT ***
Apples,Bagel BLT & PHB ***
Applewood Sauce,Bagel BLT plein-goût
Asiago & Bacon Chkn ***,Bagel BLT R ***
Asiago & Bacon Chkn EVM ***,Bagel BLT Tout
Asiago & Bacon Chkn LV ***,Bagel fromage
Asiago & Bacon Chkn RV ***,Bagel grains
Asian Cashew Salad,Bagel lt oeuf ***
Asian Sesame Fusion Salad,Bagel LT oeuf ***
Ask Me,Bagel lt oeuf & PHB ***
Authentique French Croissant w,Bagel nature
Authentique French Croissant with Cheese,Bagel Nature
Avoidable Driver Wait Time Fee,Bagel nature avec bacon et oeuf
B-2fr Htck Brn Tst,Bagel nature avec oeuf et bacon
B-2fr Htck Brn Tst VM,Bagel nature avec oeuf et saucisse
B-2fr Htck Wht Tst,Bagel nature avec produit régulier fromage à la crème
B-2fr Htck Wht Tst VM,Bagel nature avec produit régulier fromage à la crème
B-Chsb Deluxe,Bagel nature avec rég from crè
B-Egg Bagel,Bagel nature avec régulier fromage à la crème
B-Egg Bagl VM,Bagel nature avec saucisse et oeuf
B-Egg Guac Bagel***,Bagel nature bacon et oeuf
Bac Dbl Cheeseburger,Bagel nature BLT
Bac Deluxe Grilled Chicken,Bagel nature BLT avec oeuf
Bac Egg Bagl VM,Bagel nature oeuf et bacon
Bacon 'n Egg Croissant,Bagel nature oeuf et saucisse
Bacon 'n Egg Croissant on Chee,Bagel nature prod rég from crè
Bacon 'n Egg Croissant on Cheese Croissant,Bagel nature saucisse et oeuf
Bacon 'n Egg McMuffin,Bagel origin b-oeuf
Bacon 'N Egg McMuffin,Bagel original
Bacon 'N Egg McMuffin Extra Value Meal,Bagel Original BLT
Bacon 'n' Egg McMuffin,Bagel p-goût
Bacon 'n' Egg McMuffin Extra Value Meal,Bagel plein-goût
Bacon & Guacamole Bagel,Bagel plein-goût avec produit régulier fromage à la crème
Bacon Chsb Deluxe,Bagel plein-goût bacon et oeuf
Bacon Dbl Chsb,Bagel plein-goût BLT avec oeuf
Bacon Deluxe Grilled Chicken Sandwich,Bagel plein-goût rég from crèm
Bacon Deluxe Grilled Chicken Sandwich Extra Value Meal,Bagel plein-goût sauc et oeuf
Bacon Deluxe McCrispy,Bagel plein-goût saucisse et oeuf
Bacon Deluxe McCrispy Extra Value Meal,Bagel R ***
Bacon Double Cheeseburger,Bagel Sandwichs
Bacon Double Cheeseburger Extra Value Meal,Bagel sésa avec bacon et oeuf
Bacon Egg Bagel ***,Bagel sésa avec oeuf et bacon
Bacon Egg McMuffin,Bagel sésa avec oeuf et saucisse
Bacon Egg McMuffin & Hash Brown Deal,Bagel sésa avec saucisse et oeuf
Bacon Egg McMuffin & HB Deal,Bagel sésa bacon et oeuf
Bacon McWrap Grilled,Bagel sésa BLT avec oeuf
Bacon Pieces,Bagel sésa oeuf et bacon
Bacon Strip,Bagel sésa oeuf et saucisse
Bacon Strips,Bagel sésa saucisse et oeuf
"Bacon, Egg & Cheese McGriddles",Bagel sésame avec fromage à la crème original
"Bacon, Egg & Cheese McGriddles Extra Value Meal",Bagel sésame avec régulier fro
Bag,Bagel sésame avec régulier fromage à la crème
Bag B-Egg Gouda,Bagel sésame BLT
Bag B-Egg Gouda VM,Bagel sésame from crème orig
Bag Fee (2 Bags),Bagels
Bag Selection,Bagels et tartinades
Bagel,"Bagels grillés, etc."
Bagel ***,Bagels-matin
Bagel & Soup,Barbotines
Bagel Bacon Egg EVM,Bâtonnets
Bagel Bacon Egg Guac EVM,Bâtons des étoiles de la LNH
Bagel Crm Chs with Soup,Beurre
Bagel Plain,Beurre arachide avec couteau
Bagel Plain VM,Beurre avec couteau
Bagel Sandwich,Beurre d'arachide
Bagel Sandwiches,Bien grillé
Bagel Sausage Egg EVM,Big Mac
Bagel Type,Big Mac (sans viande)
Bagel with Butter,Big Mac enfant
Bagel with Cream Cheese,Big Mac et côte
Bagels,"Big Mac, sans viande"
Bagels & Spreads,Billet hockey
Bagl ***,Biscuit arc-en-ciel
Bagl B-Egg EVM ***,Biscuit aux morceaux de chocol
Bagl B-Egg VM ***,Biscuit aux morceaux de chocolat
Bagl Bac Egg 'N Gouda,Biscuit s'mores
Bagl Bac Egg 'N Gouda VM,Biscuits
Bagl Bac Egg VM ***,Biscuits douceur
Bagl Bacon Egg  ***,Bist Thaïe m frites ***
Bagl Bacon Egg ***,Blanc 250ml de lait
Bagl BLT ***,Blanc d'oeuf
Bagl BLT EVM ***,Bleuets
Bagl BLT VM ***,BLT poulet ***
Bagl Bny B-Egg  VM ***,Boisson
Bagl Bny B-Egg VM ***,Boisson à l’avoine
Bagl Bny Bacon Egg  ***,Boisson café chaude specialite
Bagl Bny Bacon Egg ***,Boisson d'amande
Bagl Crm Chs VM,Boisson fontaine
Bagl Egg BLT ***,Boisson Latte/Cappuccino
Bagl Egg BLT EVM ***,Boisson McCafé chaude
Bagl Egg BLT VM ***,Boisson McCafé Chaude
Bagl Egg LT ***,Boisson Splash fraîcheur
Bagl Egg LT EVM ***,Boissons chaudes
Bagl Egg LT VM ***,Boissons de fontaine
Bagl Egg LT***,Boissons en bouteille
Bagl Plain ***,Boissons en bouteille
Bagl R ***,Boissons fontaine - enfant
Bagl Sau Egg ***,Boissons froides
Bagl Sau Egg VM ***,Boissons Splash fraîcheur
Bagl w/ CC ***,Boîte à café
Bagl w/ CC VM ***,Boîte à café (pour 12 pers.)
Bagl w/ R/CC Smk Slmn,Boîte à décaf
Bagl w/ Spreads,Boîte à décaf (pour 12 pers.)
Bagl w/ Spreads ***,Boîte à partager (2 personnes)
Bagl w/Cream Chs,Boîte à partager (pour 2 personnes)
Bags,Boîte à partager 20 McCroq
Baked Apple Pie,Boîte à partager des Fêtes
Baked Blueberry Cream Cheese Pie,Boîte à partager des Fêtes
Baked Muffins,Boîte à partager des Fêtes avec chaussons
Baked Pies,Bouchées de patates du Grincheux
Bakery,Bout consignée
Bakery & Sweets & Treats,Bouteille
Bakery Pairings,Bouteille au miel
Barbeque Sauce,Bouteille consignée
Barq's Root Beer,Bouteille d'eau
BBQ Sauce,Bouteille d'eau DASANI
Begel,Bouteille de lait 1%
Benny B-Egg Bagl VM,Bouteille de lait 1% au choco
Benny B-Egg Bgl VM ***,Bouteille de lait 1% au chocolat
Benny Bacon Egg Bagel ***,Bouteille de Sprite
Bergamia Grey Tea,Brioche à la cannelle
Berry Bliss Syrup,Brunch
Berry McPops,Burrito-matin
Big Arch,Burritos-matin
Big Breakfast,Café frappé
Big Mac,Café frappé + crème fouettée + coulis au choc.
Big Mac (No Meat),Café glacé
Big Mac (No Meat) Extra Value Meal,Café glacé à la vanille
Big Mac & Side Deal,Café glacé au caramel
Big Mac Extra Value Meal,Café glacé au caramel salé
Big Mac Offer,Café glacé avec boisson à l'avoine
Big Mac Sauce,Café glacé avec sirop sans sucre
"Big Mac, No Meat",Café infusé
Bistro Sandwiches,Café infusé à froid
Black,Café infusé à froid avec sirop sans sucre et crème
Black & White Sesame Bun,Café infusé à froid caramel et crème
Black & White Sesame Seed Bun,Café infusé à froid sucré avec boisson à l'avoine
Black Bean Salad,Café infusé à froid sucré avec crème
Blackberry Passionfruit  Syrup,Café infusé à froid vanille française et crème
Blackberry Passionfruit Refresher,Café infusé aînés
Block Party GC,Café infusé décaféiné
Block Party Gift Certs,Café infusé décaféiné aînés
BLT Bagel,Café infusé et thé
BLT Bagl VM,Café surcharge
BLT Chicken ***,Café tg surcharge
Blue Raspberry Syrup,Café/thé
Blue Stainless Bottle,Café/Thé
Blueberries,Canette consignée
Blueberry,Canneberges & orange (contient maintenant du soja)
Blueberry Cream Cheese Pie,Cappuccino
Blueberry Muffin,Cappuccino (lait 2%)
Blueberry Pomegranate Real Fruit Smoothie,Cappuccino (lait aux amandes)
Blueberry Pomegranate Smoothie,Cappuccino (lait d'amande)
Book,"Cappuccino, format moyen (lait aux amandes)"
Book or Toy,"Cappuccino, grand format (lait aux amandes)"
Bottle Deposit,"Cappuccino, petit format (lait aux amandes)"
Bottled Beverages,Caramel
Bottled Drink,Caramel poudre
Bottled Water,Carottes et concombres
Breakfast Bundle for 4,Carottes râpées
Breakfast Bundle for 4 (Serves 4),Carte avantage
Breakfast Burrito,Carte cadeau 10$
Breakfast Burritos,Carte cadeau 20$
Breakfast Menu,Carte cadeau 25$
Breakfast Poutine,Carte cadeau 5$
Breakfast Sandwich,Carte cadeau 50$
Breakfast Sandwiches,CC Saint-Valentin
Breakfast Wraps & Burritos,CC St-Valentin
Brewed Coffee & Tea,Certif Block Party
Brewed Iced Tea,Certif Halloween
Brie Cheese,Certificat Block Party
Brown Toast,Certificat Halloween
Brown Toast Special,Chai frappé à la vanille
Brunch,Chai frappé à la vanille
Bubble Heart Mug,Chai frappé van. + cr. fouettée + coulis au choc.
Buffalo Chicken Snack Wrap,Charge fête
Buffalo Crispy Snack Wrap,Chaussettes
Buffalo Grilled Snack Wrap,Chausson aux bleuets
Buffalo Sauce,Chausson aux bleuets et au fromage à la crème cuit au four
Buffalo SnackWrap® w/ Grilled Chicken McValue Meal,Chausson aux pommes
Bun,Chausson aux pommes cuit au four
Bundles and Sharing,Chausson pommes
Burgers,Chaussons cuits au four
Burnt Sugar Topping,Chaussons pommes/bleuets et fr
Burrito Mix,Chaussons pommes/bleuets et fromage à la crème
Butter,Cheddar naturel
Butter Packet,Child Cup
Butter with knife,Chips tortillas
"Buy One, Get One Free*",Chocolat
C Water,Chocolat chaud
Cadbury Crème Egg McFlurry,Chocolat chaud
Caesar Dressing,Chocolat chaud  (lait 2%)
Caesar Entrée Salad,Chocolat chaud (lait 2%)
Caesar McWrap Grilled Chicken,Chocolat chaud (lait aux amandes)
Caesar McWrap with Grill Chick,Chocolat chaud en sachet
Caesar Signature McWrap with Grilled Chicken,Chocolat chaud gourmet
Caesar Signature McWrap with Grilled Chicken Extra Value Meal,Chocolat chaud L
Caesar Veggie Mix,"Chocolat chaud, format moyen (lait aux amandes)"
Café Sandwiches,"Chocolat chaud, grand format (lait aux amandes)"
Cajun Aioli Sauce,"Chocolat chaud, petit format (lait aux amandes)"
Cajun McWrap Grilled Chicken,Choisir À-Côté Joyeux Festin
Cajun McWrap with Grill Chick,Choisir bagel
Cajun Ranch McWrap,Choisir biscuits
Cajun Ranch McWrap Value Meal,Choisir boisson chaude
Cajun Signature McWrap with Grilled Chicken,Choisir boisson Joyeux Festin
Cajun Signature McWrap with Grilled Chicken Extra Value Meal,Choisir boisson McCafe
Can Deposit,Choisir boisson/s
Canada Stainless Cup,Choisir boisson/s M
Canadian Back Bacon,Choisir café
Cappuccino,Choisir café/déca
Cappuccino (2% Milk),Choisir café/thé
Cappuccino (Almond Milk),Choisir Carafe
Carafe Item,Choisir chaussons
Caramel,Choisir Côte
Caramel Cream Cold Brew,Choisir croissants
Caramel Iced Coffee,Choisir des frites
Caramel Latte (2% Milk),Choisir DTJ Bagel
Caramel Latte (Almond milk),Choisir Joyeux Festin
Caramel Latte (Almond Milk),Choisir MacPoulet au choix à X
Caramel Powder,Choisir MacPoulet au choix à X$
Caramel Sundae,Choisir McFlurry
Caramel Syrup,Choisir mini-vienn
Caramelized Onions,Choisir muffins
Caring Cookies,Choisir p café
Carolina BBQ Sauce,Choisir petit café
Carrier Mug,Choisir sandwich
Carrot and Cucumber,Choisir Sandwich
Carrot Muffin,Choisir sandwich bagel
Ceramic Mug,Choisir sandwich Bagel
Chai Cardamom Tea Latte (2% Milk),Choisir sandwich McMuffin
Chai Cardamom Tea Latte (Almond Milk),Choisir sauce tartare
Chai Glow Tea,Choisissez vos 2 McPops
Cheese,Choisissez vos 6 McPops
Cheese Bagel,Classique
Cheese Bagl w/ Spreads,Classique
Cheese Bagl w/ Spreads ***,Classique McFlurry Oreo
Cheese Croissant,Classique McFlurry Skor
Cheese Curds,Classique McFlurry Smarties
Cheese Sauce,Coca-Cola
Cheeseburger,Coca-Cola Zero
Cheeseburger Deluxe,Coca-Cola zéro
Cheeseburger Deluxe Extra Value Meal,Coca-Cola zéro sucre
"Cheeseburger, No Meat",Coke
Chewy Chocolate Chunk Cookie,Coke Diète
CHF ATTRACT PROMO 5,Coke Syrup
Chicken & Bacon McWrap,Coke tourbillon de fraise
Chicken & Bacon McWrap Extra Value Meal,"Coke tourbillon de fraise, format moyen"
Chicken & Bacon McWrap with Crispy Chicken,"Coke tourbillon de fraise, grand format"
Chicken & Bacon McWrap with Crispy Chicken Extra Value Meal,"Coke tourbillon de fraise, petit format"
Chicken & Bacon McWrap with Grilled Chicken,Coke Zero Syrup
Chicken & Bacon McWrap with Grilled Chicken Extra Value Meal,Collation
Chicken & Bacon Signature McWrap with Grilled Chicken Extra Value Meal,Collation McFlurry Oreo
Chicken & Fish,Collation McFlurry Skor
Chicken Big Mac,Collation McFlurry Smarties
Chicken Big Mac Extra Value Meal,Collation sur le pouce
Chicken Big Mac Patty,Collations et à-côtés
Chicken Breakfast Wrap,Commande remise
Chicken Breakfast Wrap Extra Value Meal,Concombre
Chicken McGriddle,Condiments
Chicken McGriddle Extra Value Meal,Condiments à côté
Chicken McGriddle or McMuffin Sandwich,Confiture avec couteau
Chicken McGriddle/McMfn,Confiture Double fruit
Chicken McGriddles,Consigne jus
Chicken McMuffin,Consigne lait
Chicken McMuffin Extra Value Meal,Cornet à la vanille
Chicken Nacho Poutine with Crispy Chicken,Cornet vanille
Chicken Nacho Poutine with Grilled Chicken,Cornichons
Chicken Patty,Côte
Chicken Snack Wrap with Crispy Chicken,Coulis de chocolat
Chicken Snack Wrap with Grilled Chicken,Coupé en deux
Chickpea & Edamame Salad,Coupe gl caramel
Child Chocolate Shake,Coupe gl chocolat
Child Clear Cup,Coupe glacé
Child Cup,Coupe glacée à l'espresso
Child Cup FS,Coupe glacée au caramel
Child Size,Coupe glacée au caramel fondant
Child Size Barq's Root Beer,Coupe glacée au chocolat
Child Size Chocolate Shake,Coupe glacée au chocolat fondant
Child Size Coca-Cola,Coupe glacée aux caramel
Child Size Coke,Coupe glacée caramel
Child Size Coke Zero,Coupe glacée chocolat
Child Size Diet Coke,Coupes glacées et cornet
Child Size Fruitopia Orange,Coupon Local
Child Size Fruitopia Strawberry,Couteaux
Child Size Fuze Iced Tea,crème
Child Size FUZE Iced Tea,Crème
Child Size NESTEA Iced Tea,Crème fouettée
Child Size Soft Drinks,Crème fouettée et coulis de ch
Child Size Sprite,Crème fouettée et coulis de chocolat
Child Size Strawberry Shake,Crêpes
Child Size Vanilla Shake,Crêpes
Child Soft Drinks,Crêpes et bacon
Child Strawberry Shake,Crêpes et saucisse
Child Vanilla Shake,Crêpes ML
Chili Lime Glaze,"Crêpes, collations et à-côtés"
Chocolate Brownie Muffin,Croissant
Chocolate Chip Muffin,Croissant au fromage
Chocolate Drizzle,Croissant dinde et cheddar BLT
Chocolate Hazelnut Iced Latte (2% Milk),Croissant français authentique
Chocolate Hazelnut Latte (2% Milk),Croissant français authentique avec bacon et œuf
Chocolate Milk,Croissant LT avec œuf
Chocolate Milk Bottle,Croissant/Mini-viennoiseries
Chocolate Pieces,Croissants sandwichs
Chocolate Triple Thick Milkshake,Croustade
Cilantro Lime Sauce,Cuillères
Cinnamon Swirls,Danoise aux pommes
Classic Ranch,Danoises Signature
Coca Cola,Dans un verre
Coca-Cola,Dbl Dbl
Coca-Cola Glass,Dbl h-from (GCM)
Coca-Cola Pin,Dbl h-from comme Mac
Coffee  L Upcharge,Dbl h-fromage LT
Coffee Bag Gift Basket,Dbl hamb fromage LT
Coffee Frappé,DBL Quart de livre avec bacon
Coffee Frappé w/ Whipped Cream & Choc Drizzle,DBL Quart de livre avec bacon et oignons croust.
Coffee L Upcharge,Déjeuner toute la journée
Coffee or Tea,Déjeuner traditionnel et 1 pat hach brun
Coffee XL Upcharge,Déjeuner traditionnel et PHB
Coffee/Decaf,Délice d’orange
Coffee/Tea Only,"Délice d’orange, format moyen"
Coke,"Délice d’orange, grand format"
Coke Syrup,"Délice d’orange, petit format"
Coke Syrup CS,Demandez-moi
Coke Zero,Demi crème
Coke Zero Can,Demi déca infusé
Coke Zero Sugar Can,Demi Filet de poisson
Coke Zero Syrup,Demi glace
Cold Brew,Demi lait
Cold Brew with Sugar-Free Syrup & Cream,Demi splenda
Cold Drinks,Demi Splenda
Cold Foam,Demi sucre
Cold Reusable Cup,Dessert
Condiments,Deux McFlurry collation
Cookies,"Deux McFlurry, classique 6 $"
Cookies,"Deux McFlurry, format classique, pour 6$"
Courier Tip,"Deux McFlurry, format collation, pour 5$"
Couscous,Deux pour le prix d'un*
Couscous Salad,Deux Trios ordinaire
Crafted Sodas,Diet Coke Syrup
Cranberry & Orange Muffin,Dinde
Cranberry Orange Muffin,Don 1 $
Cranberry Orange Muffin (Now contains soy),Don à la Maison Ronald McDonal
Cranberry Packet,Don à la Maison Ronald McDonald
Cranberry Sauce,Donner à l’OMRM $3
Cream,Donner à l’OMRM $5
Cream Cheese,Double Big Mac
Cream Cheese Icing,Double double
Cream Chs On Side,Double espresso
Cream Packet,Double filet de poisson
Creamy Avocado Ranch McWrap,Double h-fromage
Creamy Avocado Ranch McWrap,Double hamburger
Creamy Chipotle McWrap,Double Hamburger
Creamy Chipotle McWrap Extra Value Meal,Double hamburger avec fromage
Creamy Chipotle McWrap with Crispy Chicken,Double Hamburger avec fromage
Creamy Chipotle McWrap with Crispy Chicken Extra Value Meal,Double Hamburger avec fromage et bacon
Creamy Chipotle McWrap with Grilled Chicken,double hamburger fromage
Creamy Chipotle McWrap with Grilled Chicken Extra Value Meal,Double hamburger fromage
Creamy Chipotle Sauce,Double quart BLT
Creamy Dijon Mustard,Double quart de livre avec fromage
Creamy Spicy Sauce,Double quart de livre BLT
Creamy Strawberry Coke,Double quart de livre fromage
Creamy Strawberry Syrup,Double quart de livre sans fro
Crispy Chicken Patty,Double quart de livre sans fromage
Crispy Onions,Double Quart Fromage
Crispy Ranch Snack Wrap,Double Quart Hamburger (sans fromage)
Crispy Snack Wrap,Double Quart livre (sans fromage)
Croissant,Duo
Croissants Sandwiches,Duo 2 biscuits
Crumble,duo avec Café
Cucumber,Duo Bagel Crm Chs avec Café
Cut in half,Duo café et pâtisserie
Dasani Water,Duo chausson aux pommes
Dbl Chsb LT,Duo chausson aux pommes et McCafé
Dbl Dbl,Duo chausson aux pommes McCafé
Dbl Quarter Pounder,Duo muffin anglais
Dbl Quarter Pounder withCheese,Duo muffin anglais et boisson chaude
